x2,w2,x3,w3,x4,w4,x5,w5,x6,w6,x10,w10,x11,w11,x13,w13,x14,w14,x16,w16,x17,w17,x20,w20,x21,w21,x22,w22
79,1.775114803545177,79,1.7579963473626972,79,1.7412173657612668,79,1.72477478967309,79,1.7086461118218303,79,1.6471902054044936,79,1.6325444927978514,79,1.6040451216959952,79,1.5901706872558594,79,1.5632314622497558,79,1.5497185278320311,79,1.5121070356750488,79,1.4998503441920876,79,1.487818199273646
80,1.775128448661864,80,1.7580098659810424,80,1.7412307625535461,80,1.724788058193326,80,1.708659271928966,80,1.6472028845310211,80,1.6325570574951174,80,1.6040574952030182,80,1.5901829864501953,80,1.5632434578704832,80,1.5497312658691407,80,1.5121185707855225,80,1.4998618159136177,80,1.4878295784980058
81,1.7751420917746425,81,1.7580233826121687,81,1.7412441573646333,81,1.7248013247731326,81,1.70867243008554,81,1.6472155614111157,81,1.6325696032714845,81,1.604069866900444,81,1.5901952575683593,81,1.5632554535675047,81,1.549744038696289,81,1.5121301057434082,81,1.4998732859626411,81,1.4878409560593961
82,1.775155732920766,82,1.7580368973070384,82,1.7412575502643983,82,1.7248145894575118,82,1.7086855863294004,82,1.6472282368977864,82,1.632582160949707,82,1.6040822368407248,82,1.5902075518798828,82,1.5632674453735351,82,1.5497567150878906,82,1.5121416452026368,82,1.4998847543755174,82,1.4878523319679497
83,1.7751693720752002,83,1.758050410026014,83,1.7412709412035017,83,1.7248278522032499,83,1.7086987406271696,83,1.647240910302268,83,1.6325947032165529,83,1.6040946045982838,83,1.5902198406982422,83,1.563279436378479,83,1.5497694598388672,83,1.512153172531128,83,1.499896221112311,83,1.487863706215024
84,1.775183009290993,84,1.7580639208361506,84,1.741284330240554,84,1.724841113075018,84,1.708711893031001,84,1.6472535819636451,84,1.6326072581481934,84,1.6041069705438615,84,1.5902321102905272,84,1.5632914265441893,84,1.5497821563720704,84,1.5121647019195557,84,1.4999076862353087,84,1.487875078831911
85,1.7751966444945333,85,1.7580774296492339,85,1.7412977173093291,85,1.724854371996224,85,1.7087250434756278,85,1.647266251622306,85,1.632619814605713,85,1.6041193346774578,85,1.5902443936157227,85,1.5633034140396118,85,1.5497948974609375,85,1.512176234512329,85,1.4999191496768594,85,1.487886449774802
86,1.7752102777794003,86,1.758090936563611,86,1.7413111024952594,86,1.7248676290649174,86,1.7087381920436027,86,1.6472789195696513,86,1.6326323440551758,86,1.604131696805954,86,1.590256692199707,86,1.5633154001235963,86,1.5498076220703125,86,1.5121877586364747,86,1.499930611514151,86,1.4878978191104533
87,1.7752239090520143,87,1.7581044414991143,87,1.741324485704965,87,1.724880884181559,87,1.7087513386517763,87,1.6472915855672625,87,1.6326448895263672,87,1.6041440569651129,87,1.5902689395141603,87,1.5633273828506469,87,1.549820313720703,87,1.5121992810821534,87,1.499942071672082,87,1.487909186759293
88,1.775237538366914,88,1.7581179444929955,88,1.7413378670066595,88,1.7248941374063491,88,1.708764483348131,88,1.6473042498641546,88,1.6326574322509766,88,1.604156415491104,88,1.590281224975586,88,1.5633393659210206,88,1.5498330322265625,88,1.512210810852051,88,1.499953530191183,88,1.4879205527678132
89,1.7752511656993628,89,1.7581314455291628,89,1.7413512463506726,89,1.7249073887079953,89,1.7087776261150838,89,1.6473169124444325,89,1.6326699794006347,89,1.6041687718832494,89,1.5902935018920898,89,1.56335134601593,89,1.5498457550048828,89,1.5122223286437988,89,1.4999649870592355,89,1.4879319171229004
90,1.7752647910767796,90,1.7581449446266888,90,1.7413646237906484,90,1.724920638113618,90,1.708790766967237,90,1.6473295727094013,90,1.6326825103759766,90,1.604181126462221,90,1.5903057611083984,90,1.5633633248138428,90,1.5498584826660158,90,1.5122338471984864,90,1.4999764422899484,90,1.487943279838115
91,1.7752784144821763,91,1.7581584417799117,91,1.7413779992911549,91,1.72493388561517,91,1.7088039058989284,91,1.6473422315120696,91,1.6326950500488282,91,1.6041934791338444,91,1.590318035888672,91,1.5633753027343749,91,1.5498711486816406,91,1.5122453744506836,91,1.4999878958712518,91,1.4879546409027278
92,1.775292035905719,92,1.7581719369763138,92,1.741391372852193,92,1.724947131201327,92,1.7088170429012177,92,1.6473548885769314,92,1.6327075741577148,92,1.6042058298385145,92,1.5903303063964844,92,1.5633872776412963,92,1.5498838604736327,92,1.5122568864440917,92,1.4999993478015066,92,1.4879660003171862
93,1.7753056553760171,93,1.7581854302352666,93,1.7414047444985972,93,1.7249603748889268,93,1.7088301779985429,93,1.6473675435913935,93,1.632720112915039,93,1.6042181786358356,93,1.590342557067871,93,1.5633992531967165,93,1.5498965417480468,93,1.512268401260376,93,1.5000107980960606,93,1.4879773580855131
94,1.7753192728763818,94,1.758198921549618,94,1.7414181142136456,94,1.7249736166705192,94,1.7088433111722767,94,1.6473801966614192,94,1.6327326512145994,94,1.6042305256187916,94,1.5903548327636718,94,1.5634112243270875,94,1.5499092553710938,94,1.512279917755127,94,1.500022246747613,94,1.4879887142148616
